,V,I,SOC
247,3.667845,-0.62407,0.4949914309288367
248,3.66769,-0.62407,0.49495676064414484
249,3.547092,-4.99721,0.49492209035945295
250,3.535776,-5.0,0.49492209035945295
251,3.529576,-4.99907,0.4946443125816751
252,3.524616,-4.99907,0.4943665669429468
253,3.520585,-5.00093,0.49408884083183563
254,3.517175,-5.0,0.493811013557934
255,3.51392,-4.99907,0.4935332379502945
256,3.51113,-5.0,0.49325829777923536
257,3.508495,-5.0,0.492980522171597
258,3.559028,-3.125,0.4926916332827078
259,3.560733,-3.125,0.4926916332827078
260,3.560578,-3.12407,0.49251802352793367
261,3.559958,-3.125,0.49234446543942256
262,3.559338,-3.125,0.49217085432831154
263,3.558563,-3.12407,0.4919989698339533
264,3.557788,-3.12407,0.49182541174544225
265,3.556858,-3.125,0.49165185230099784
266,3.556082,-3.125,0.4914782425462237
267,3.555308,-3.12407,0.491304632791449
268,3.554378,-3.125,0.4911310760588714
269,3.553602,-3.12593,0.4909592051278816
270,3.552827,-3.125,0.49078552878269954
271,3.552052,-3.12407,0.4906119190279249
272,3.551277,-3.12407,0.4904331568679467
273,3.550502,-3.125,0.49025959742350234
274,3.549727,-3.12407,0.49008598766872763
275,3.548952,-3.125,0.48991416924246084
276,3.548332,-3.12407,0.48974055948768613
277,3.547557,-3.125,0.48956698512797703
278,3.546782,-3.125,0.4893933767295394
279,3.546162,-3.12407,0.4892197669747652
280,3.545387,-3.125,0.48904620753032085
281,3.544767,-3.125,0.488874336599331
282,3.544147,-3.12407,0.48870072684455684
283,3.665365,1.24628,0.48852022637826786
284,3.67544,1.24907,0.48852022637826786
285,3.680401,1.24907,0.4885896191560457
286,3.684431,1.24907,0.4886590108495614
287,3.687686,1.24907,0.48872840308520793
288,3.690786,1.24907,0.4887971057301256
289,3.693421,1.24907,0.4888664985079032
290,3.695902,1.25186,0.48893589074355004
291,3.698227,1.24814,0.48900543797798585
292,3.630332,-1.24256,0.48907685769724785
293,3.624287,-1.24907,0.48907685769724785
294,3.622737,-1.24814,0.48900746491947
295,3.621652,-1.24907,0.4889381243500862
296,3.620877,-1.24907,0.4888687326565709
297,3.620257,-1.25,0.488799333915351
298,3.619792,-1.24907,0.48872989001344125
299,3.619482,-1.24907,0.4886604972356636
300,3.619017,-1.25,0.48859180109631895
301,3.618862,-1.24907,0.48852235665187466
302,3.618551,-1.24907,0.48845296441622776
303,3.618242,-1.24907,0.4883835721805811
304,3.618087,-1.25093,0.4883141799449344
305,3.617932,-1.25,0.4882446838338234
306,3.617777,-1.24907,0.48817315225830243
307,3.617621,-1.24907,0.4881044555768268
308,3.617466,-1.24907,0.48803506334118013
309,3.617157,-1.25,0.48796567056340245
310,3.617157,-1.24907,0.4878962266614925
311,3.617002,-1.24907,0.48782683442584585
312,3.616847,-1.24907,0.4877574416480682
313,3.616691,-1.24907,0.4876887390031506
314,3.616536,-1.24814,0.48761934676750374
315,3.616536,-1.25,0.4875500061981201
316,3.616381,-1.24907,0.4874805617536758
317,3.616226,-1.24907,0.4874111695180291
318,3.616226,-1.24907,0.4873424728365533
319,3.616071,-1.24907,0.48727308060090646
320,3.615916,-1.25,0.4872036824018181
321,3.615762,-1.24907,0.48713423849990856
322,3.615762,-1.24907,0.48706484626426166
323,3.615606,-1.24907,0.4869954534864839
324,3.615451,-1.24907,0.486923980551766
325,3.720703,2.49814,0.48685458831611916
326,3.729539,2.49907,0.48685458831611916
327,3.734964,2.49907,0.48699203282745546
328,3.739304,2.50093,0.4871294892701165
