,V,I,SOC
252,3.730314,1.31975,0.49603593359766524
253,3.732174,1.32068,0.49603593359766524
254,3.728454,1.16815,0.49610930413556453
255,3.729694,1.16536,0.49610930413556453
256,3.725818,1.00725,0.4961746947916059
257,3.726748,1.00911,0.4961746947916059
258,3.722718,0.84728,0.4962313175129213
259,3.723028,0.84728,0.4962313175129213
260,3.718998,0.68266,0.49627838862403245
261,3.718998,0.68173,0.49627838862403245
262,3.715123,0.53013,0.4963166421394793
263,3.715123,0.53106,0.4963166421394793
264,3.710162,0.34133,0.4963467339260158
265,3.709697,0.3404,0.4963467339260158
266,3.705202,0.1702,0.4963658344437241
267,3.704582,0.17113,0.4963658344437241
268,3.700242,0.0,0.49637534159167124
269,3.699467,0.0,0.49637534159167124
270,3.698847,0.0,0.49637534159167124
271,3.698382,0.0,0.49637534159167124
272,3.698072,0.0,0.49637534159167124
273,3.697917,0.0,0.49637534159167124
274,3.697762,0.0,0.49637534159167124
275,3.697607,0.0,0.49637534159167124
276,3.697452,0.0,0.49637534159167124
277,3.697297,0.0,0.49637534159167124
278,3.697297,0.0,0.49637534159167124
279,3.697297,0.0,0.49637534159167124
280,3.697297,0.0,0.49637534159167124
281,3.697142,0.0,0.49637534159167124
282,3.697142,0.0,0.49637534159167124
283,3.697142,0.0,0.49637534159167124
284,3.697142,0.0,0.49637534159167124
285,3.697142,0.0,0.49637534159167124
286,3.697297,0.0,0.49637534159167124
287,3.697297,0.0,0.49637534159167124
288,3.697297,0.0,0.49637534159167124
289,3.686601,-0.4083,0.49637534159167124
290,3.685361,-0.4083,0.49637534159167124
291,3.67544,-0.78962,0.4963522037056035
292,3.67358,-0.78962,0.4963522037056035
293,3.662264,-1.2221,0.49630789690733107
294,3.659629,-1.22303,0.49630789690733107
295,3.649863,-1.59226,0.49623927558174036
296,3.646918,-1.59226,0.49623927558174036
297,3.682416,-0.21112,0.49615081738393674
298,3.684121,-0.21112,0.49615081738393674
299,3.684896,-0.21205,0.4961390875787283
300,3.685361,-0.21112,0.49612730711520847
301,3.685671,-0.21112,0.4961155783179515
302,3.685826,-0.21205,0.49610384952069453
303,3.686136,-0.21112,0.4960920689651389
304,3.686136,-0.21112,0.49608034016788194
305,3.686291,-0.21112,0.4960687289344096
306,3.710628,0.72917,0.4960565309815972
307,3.713573,0.72917,0.4960565309815972
308,3.709232,0.54874,0.4960970404260416
309,3.710473,0.54967,0.4960970404260416
310,3.705977,0.3683,0.49612788373620226
311,3.706597,0.3683,0.49612788373620226
312,3.701792,0.18322,0.4961485496182768
313,3.701947,0.18415,0.4961485496182768
314,3.697297,0.0,0.4961587800939061
315,3.696987,0.0,0.4961587800939061
316,3.696832,0.0,0.4961587800939061
317,3.696832,0.0,0.4961587800939061
318,3.696832,0.0,0.4961587800939061
319,3.696832,0.0,0.4961587800939061
320,3.696832,0.0,0.4961587800939061
321,3.696832,0.0,0.4961587800939061
322,3.696987,0.0,0.4961587800939061
323,3.696987,0.0,0.4961587800939061
324,3.696987,0.0,0.4961587800939061
325,3.697142,0.0,0.4961587800939061
326,3.697142,0.0,0.4961587800939061
327,3.697142,0.0,0.4961587800939061
328,3.697297,0.0,0.4961587800939061
329,3.697297,0.0,0.4961587800939061
330,3.697297,0.0,0.4961587800939061
331,3.697452,0.0,0.4961587800939061
332,3.697452,0.0,0.4961587800939061
333,3.697607,0.0,0.4961587800939061
334,3.697607,0.0,0.4961587800939061
335,3.697607,0.0,0.4961587800939061
336,3.697762,0.0,0.4961587800939061
337,3.691871,-0.21577,0.4961587800939061
338,3.691406,-0.21577,0.4961587800939061
339,3.700552,0.14044,0.49614655275263886
340,3.701172,0.13951,0.49614655275263886
341,3.655444,-1.63783,0.4961543032476432
342,3.650329,-1.63876,0.4961543032476432
343,3.66986,-0.86403,0.4960623484693968
344,3.66924,-0.86403,0.4960623484693968
345,3.664434,-1.04353,0.4960133893944877
346,3.662884,-1.04539,0.4960133893944877
347,3.656219,-1.30208,0.4959547304925869
348,3.654204,-1.30208,0.4959547304925869
349,3.648159,-1.52902,0.4958816676416148
350,3.645988,-1.52902,0.4958816676416148
351,3.641338,-1.69922,0.49579672341333303
352,3.639168,-1.69829,0.49579672341333303
353,3.631572,-1.98661,0.49570142826312924
354,3.628937,-1.98661,0.49570142826312924
355,3.622582,-2.22563,0.4955899565064413
356,3.619947,-2.22563,0.4955899565064413
357,3.615451,-2.38746,0.4954663103953302
358,3.612816,-2.38839,0.4954663103953302
359,3.604291,-2.70926,0.4953322941420354
360,3.601346,-2.71019,0.4953322941420354
361,3.656219,-0.56269,0.49518172803092436
362,3.659784,-0.55897,0.49518172803092436
363,3.661489,-0.56083,0.4951503631179297
364,3.662574,-0.5599,0.4951192063825389
365,3.663349,-0.5599,0.49508841261157555
366,3.66397,-0.5599,0.4950573070560201
367,3.66459,-0.56083,0.49502620174347645
368,3.6649,-0.56083,0.49499504476467004
369,3.66521,-0.5599,0.4949638875424477
370,3.665365,-0.5599,0.4949327824729166
371,3.665519,-0.5599,0.49490198602881935
372,3.665675,-0.5599,0.4948708809592882
373,3.66583,-0.5599,0.4948397754037326
374,3.665985,-0.5599,0.4948086700911893
375,3.665985,-0.5599,0.49477663209800343
376,3.665985,-0.5599,0.49474552678546013
377,3.66614,-0.5599,0.4947144212299045
378,3.66614,-0.5599,0.4946836250288194
379,3.66614,-0.5599,0.49465251971627594
380,3.665985,-0.5599,0.49462141416072025
381,3.665985,-0.5599,0.4945903090911892
382,3.665985,-0.56083,0.4945592037786457
383,3.665985,-0.5599,0.4945280467998393
384,3.665985,-0.5599,0.49449725302887576
385,3.66583,-0.5599,0.4944661474733203
386,3.722253,1.60993,0.4944337979385547
387,3.728609,1.61086,0.4944337979385547
388,3.725353,1.46763,0.4945250828018534
389,3.7290739999999998,1.46763,0.4945250828018534
390,3.725508,1.32068,0.4946066171648611
391,3.728144,1.31975,0.4946066171648611
392,3.724423,1.16722,0.49468067152217443
393,3.726129,1.16629,0.49468067152217443
394,3.722253,1.00818,0.49474611436235694
395,3.723338,1.00818,0.49474611436235694
396,3.720083,0.87705,0.49480212392477874
397,3.721013,0.87705,0.49480212392477874
398,3.715898,0.67708,0.4948513369361067
399,3.716208,0.67708,0.4948513369361067
400,3.711868,0.50967,0.494889326002374
401,3.711868,0.5106,0.494889326002374
402,3.707527,0.34133,0.49491769488518667
403,3.707217,0.3404,0.49491769488518667
404,3.702722,0.1702,0.4949367937777214
405,3.702257,0.1702,0.4949367937777214
406,3.697917,0.0,0.4949462492594054
407,3.697142,0.0,0.4949462492594054
408,3.696676,0.0,0.4949462492594054
409,3.696212,0.0,0.4949462492594054
410,3.696057,0.0,0.4949462492594054
411,3.695746,0.0,0.4949462492594054
412,3.695591,0.0,0.4949462492594054
413,3.695591,0.0,0.4949462492594054
414,3.695436,0.0,0.4949462492594054
415,3.695282,0.0,0.4949462492594054
416,3.695282,0.0,0.4949462492594054
417,3.695282,0.0,0.4949462492594054
418,3.695282,0.0,0.4949462492594054
419,3.695282,0.0,0.4949462492594054
420,3.695282,0.0,0.4949462492594054
421,3.695282,0.0,0.4949462492594054
422,3.695282,0.0,0.4949462492594054
423,3.695282,0.0,0.4949462492594054
424,3.695282,0.0,0.4949462492594054
425,3.695282,0.0,0.4949462492594054
426,3.695436,0.0,0.4949462492594054
427,3.695436,0.0,0.4949462492594054
428,3.695436,0.0,0.4949462492594054
429,3.692336,-0.11254,0.4949462492594054
430,3.692026,-0.11347,0.4949462492594054
431,3.689081,-0.22879,0.49493994546901476
432,3.688461,-0.22879,0.49493994546901476
433,3.684896,-0.36458,0.49492710750999996
434,3.684121,-0.36458,0.49492710750999996
435,3.681486,-0.46596,0.49490665194525174
436,3.680556,-0.46596,0.49490665194525174
437,3.677455,-0.58315,0.49488076325618924
438,3.676525,-0.58408,0.49488076325618924
439,3.673425,-0.70033,0.49484799215997405
440,3.67234,-0.70126,0.49484799215997405
441,3.668155,-0.86031,0.4948086430734636
442,3.66676,-0.85938,0.4948086430734636
443,3.664434,-0.94401,0.49476090011312523
444,3.663194,-0.94401,0.49476090011312523
445,3.659784,-1.06771,0.49470792984367185
446,3.658544,-1.06585,0.49470792984367185
447,3.655134,-1.19048,0.4946481224280686
448,3.653739,-1.19048,0.4946481224280686
449,3.648778,-1.37463,0.4945819851669923
450,3.647074,-1.3737,0.4945819851669923
451,3.639943,-1.64249,0.49450490414121073
452,3.637773,-1.64342,0.49450490414121073
453,3.644128,-1.39137,0.49441360374338955
454,3.643198,-1.38951,0.49441360374338955
455,3.634828,-1.70759,0.49433563619030396
456,3.632967,-1.70852,0.49433563619030396
457,3.629247,-1.84152,0.4942388245062411
458,3.627387,-1.84152,0.4942388245062411
459,3.621652,-2.06287,0.49413446770988745
460,3.619482,-2.06287,0.49413446770988745
461,3.617621,-2.12426,0.4940187159914234
462,3.615762,-2.12426,0.4940187159914234
463,3.611886,-2.26656,0.49389952970042533
464,3.609871,-2.26656,0.49389952970042533
465,3.605996,-2.4135,0.4937736097004254
466,3.603826,-2.4135,0.4937736097004254
467,3.59716,-2.66555,0.4936381844862322
468,3.594835,-2.66555,0.4936381844862322
469,3.59313,-2.72321,0.4934886140432419
470,3.591115,-2.72228,0.4934886140432419
471,3.586775,-2.87853,0.49333434560218353
472,3.584605,-2.87946,0.49333434560218353
473,3.580419,-3.03943,0.49317437810171405
474,3.578094,-3.03943,0.49317437810171405
475,3.570653,-3.32775,0.4930038283496786
476,3.568018,-3.32775,0.4930038283496786
477,3.566468,-3.3817,0.49281711615436635
478,3.564298,-3.3817,0.49281711615436635
479,3.559648,-3.55469,0.492629246867648
480,3.557323,-3.55562,0.492629246867648
481,3.617311,-1.19141,0.4924297339922826
482,3.621342,-1.19048,0.4924297339922826
483,3.623047,-1.19048,0.4923635962145048
484,3.624287,-1.19048,0.4922974589534285
485,3.625062,-1.19048,0.49223132220905363
486,3.625682,-1.19048,0.4921651787475606
487,3.625992,-1.19141,0.49209904148648437
488,3.626457,-1.19048,0.49203351600490447
489,3.626612,-1.19141,0.4919673787438277
490,3.626922,-1.19048,0.4919011892993832
491,3.627077,-1.19141,0.4918350520383069
492,3.627077,-1.19048,0.49176886311096757
493,3.627232,-1.19141,0.4917027258498913
494,3.687841,1.1635,0.4916345465852731
495,3.694661,1.16443,0.4916345465852731
496,3.694972,1.15513,0.49169987949782934
497,3.699002,1.1542,0.49169987949782934
498,3.696212,1.03051,0.49176400672960013
499,3.699157,1.02958,0.49176400672960013
500,3.701792,1.12072,0.4918217735855813
501,3.704737,1.12072,0.4918217735855813
502,3.704427,1.0984,0.4918846594028728
503,3.706752,1.0984,0.4918846594028728
504,3.747985,2.69438,0.4919456811483589
505,3.75496,2.69531,0.4919456811483589
506,3.667845,-0.69847,0.4920969214967658
507,3.662884,-0.6994,0.4920969214967658
